volume,pagina,book,value
2,828,Jr,39:11
2,829,Jr,40:2
2,830,Jr,40:5
2,832,Jr,40:8
2,834,Jr,40:9
2,835,Jr,41:1
2,837,Jr,41:3
2,838,Jr,41:9
2,839,Jr,41:16
2,840,Jr,42:1
2,841,Jr,42:12
2,844,Jr,43:10
2,845,Jr,44:3
2,846,Jr,44:9
2,848,Jr,44:15
2,849,Jr,44:19
2,850,Jr,44:21
2,851,Jr,44:23
2,852,Jr,44:25
2,854,Jr,46:9
2,856,Jr,46:12
2,857,Jr,46:15
2,858,Jr,46:17
2,860,Jr,46:20
2,862,Jr,46:22
2,863,Jr,46:23
2,865,Jr,47:5
2,866,Jr,47:7
2,868,Jr,48:4
2,869,Jr,48:54
2,871,Jr,48:5
2,872,Jr,48:6
2,874,Jr,48:7
2,875,Jr,48:9
2,879,Jr,48:15
2,880,Jr,48:31
2,881,Jr,48:32
2,883,Jr,48:33
2,884,Jr,48:34
2,885,Jr,48:39
2,887,Jr,48:45
2,889,Jr,49:1
2,890,Jr,49:3
2,891,Jr,49:38
2,892,Jr,49:4
2,895,Jr,49:8
2,897,Jr,49:11
2,898,Jr,49:19
2,902,Jr,49:21
2,903,Jr,49:23
2,905,Jr,49:25
2,906,Jr,49:28
2,907,Jr,49:29
2,908,Jr,49:30
2,910,Jr,50:3
2,911,Jr,50:5
2,913,Jr,50:9
2,915,Jr,50:11
2,919,Jr,50:14
2,920,Jr,50:21
2,923,Jr,50:26
2,925,Jr,50:32
2,926,Jr,50:36
2,927,Jr,50:38
2,930,Jr,51:1
2,931,Jr,51:2
2,933,Jr,51:3
2,935,Jr,51:7
2,936,Jr,51:11
2,937,Jr,51:13
2,938,Jr,51:19
2,939,Jr,51:20
2,941,Jr,51:29
2,942,Jr,51:33
2,943,Jr,51:39
2,944,Jr,51:49
2,945,Jr,51:58
2,947,Jr,52:7
2,948,Jr,52:13
2,949,Jr,52:14
2,950,Jr,52:15
2,951,Jr,52:20
2,953,Jr,52:22
2,954,Jr,52:25
2,955,Jr,52:28
2,957,Lm,1:4
